id,title,org,gov_est_price,bid_won_price,percentage
2024_HPSEB_91295_1,"Estimate for prov. SOP to JSV by aug 100 to 250 KVA, 11/0.4 KV S/Stn Bumbloo on partial turnkey basis under ESD HPSEBL Barsar.ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,718981.0,638096.0,-11.25
2024_HPSEB_91265_1,"Construction of 100 KVA, 11/0.4KV S/Stn a/w 11 KV HT line to prov. SOP to BPCL for setup CNG Station at M/s Vibhuti Filling Station on Partial turnkey basis under ESD HPSEBL Barsar. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,718389.0,637570.0,-11.25
2024_HPSEB_91260_1,"Construction of 63 KVA, 11/0.4KV S/Stn a/w 11 KV HT and 3-Ph LT line to provide SOP to LIS JICA Phase-II Rohwin on Partial turnkey basis under ESD HPSEBL Bhoranj. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,714877.0,711196.0,-0.515
2024_HPSEB_91259_1,"Tender for SOP to Reliance Jio Tower at Purag by Providing Augmentation of 100 KVA, 22/0.4 KV Sub-Station to 250 KVA, 22/0.4 KV Sub-Station in Electrical Section Purag under ESD Kiari. (TENDER ON TURN KEY BASIS).",HPSEBL||CE(OP) South||SE(OP) Rohru||Sr. Xen (E) Jubbal,676216.0,703264.0,4.0
2024_HPSEB_91256_1,"Tender for SOP to Reliance Jio Tower at Shelapaani by Providing Augmentation of 63 KVA, 22/0.4 KV Sub-Station into 100 KVA, 22/0.4 KV Sub-Station in Electrical Section Sheelghat under ESD HPSEBL, Jubbal. (TENDER ON TURN KEY BASIS).",HPSEBL||CE(OP) South||SE(OP) Rohru||Sr. Xen (E) Jubbal,348164.0,362090.0,4.0
2024_HPSEB_91253_1,"Tender for SOP to Reliance Jio Tower near PWD Colony Jubbal by Providing 25 KVA, 22/0.4 KV, 22 KV HT Line and Re-organisation of LT Distribution System under ESD HPSEBL, Jubbal. (TENDER ON TURN KEY BASIS)",HPSEBL||CE(OP) South||SE(OP) Rohru||Sr. Xen (E) Jubbal,402928.0,419045.0,4.0
2024_HPSEB_91230_1,"Construction of 25 KVA, 11/0.4KV S/Stn a/w 11 KV HT and 3-Ph LT line to provide SOP to Lift Irrigation Scheme JICA Gharyani on Partial turnkey basis under ESD HPSEBL Bijhar. ED Barsar",HPSEBL||CE(OP) CZ Mandi||SE(OP) Hamirpur||Sr. Xen (E) Barsar,835040.0,828986.0,-0.725
2024_HPSEB_91134_1,Tender for providing New 63 KVA 11/0.4 KV S/Stn Sangleri along with HT and Re-org. LD system in (E) Section Deoth under Elect. Sub- Division HPSEBL Namhol.,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Bilaspur,734262.0,668178.0,-9.0
2024_HPSEB_91124_1,Tender for providing and fixing of isolators at 33kv switchyard of Bassi Power House under Bassi Power House Division HPSEBL Jogindernagar.,HPSEBL||CE(Gen) Sundernagar||SE(Gen) Palampur,944429.0,719505.0,-23.816
2024_HPSEB_91111_1,SED-13/2024-25,HPSEBL||CE (OP) North||SE (OP) Kangra||Sr. Xen Shahpur,539867.0,555814.0,2.954
