id,title,org,gov_est_price,bid_won_price,percentage
2023_PWD_75282_1,Construction of stage at Govt Sen. Sec. School at bara Tehsil Thunag,PWD,1567550.0,1207014.0,-23.0
2023_PWD_74683_1,Up gradation and strengthening of STD 120 feet span TSR to 120 feet span DDR bailey bridge at Manali Distt Kullu HP SH De launching of 120 ft TSR Bailey bridge and launching of 120 feet DDR Bailey bridge,PWD,1538744.0,1615527.0,4.99
2023_PWD_73461_1,Construction of Amni Dhar Behi Pathiar road km. 0/0 to 10/0,PWD,1089192.0,897427.0,-17.606
2023_PWD_73061_2,"Annual Repair and maintenance of Armsdale building and Ellerslie main building at Hp Sectt. Shimla (SH- covering of work shop, covering of pipe and other minor repair work etc.",PWD,616109.0,616109.0,0.0
2023_PWD_73055_7,"Repair Renovation to various residential buildings under Division No. III Shimla. (SH- Repair of floor, and walls, repair of cupboard, repair of roof, in block no. 20 set no.19 block no.19 set No.11 , block 24 set no.1-2 at U.S. Club Shimla).",PWD,934027.0,934025.0,-0.0
2023_PWD_73055_6,"Special repair to Ellerslie main and Armsdale building at HP Secretariat Shimla-2 (SH- Painting, polishing, flooring and sanitary fitting in room No. G-14, G-16,G-21,G-23,G-24, E-318, E-323, E-328 and E-329 etc.).",PWD,546783.0,546782.0,-0.0
2023_PWD_73055_4,"Special repair to Directorate of Higher Education at Glen Hogan Shimla-3 (SH - Repair of ceiling in Conference hall, gutter, painting and distempering etc.).",PWD,1184579.0,1143119.0,-3.5
2023_PWD_72991_8,Special repair to Ellerslie main and Armsdale building at H.P Secretariat Shimla-2 (SH Renovation of office of Honble Dy. Chicf Minister of Himlachal Pradesh at Ellerslie main building),PWD,991000.0,991000.0,0.0
2023_PWD_72991_7,"Special repair to Armsdale building at HP Secretariat Chotta Shimla-2. (SH Painting, polishing and minor repair work in 3th to 5th floor of Yojna Bhawan building at HP Secretariat)",PWD,850605.0,850605.0,0.0
2023_PWD_72991_5,Repair and renovation of various residential buildings under division No. III Shimla. (SH - Repair of Club Lodge. block 20 set No. 8 and block 12 etc. at U.S. Club Shimla).,PWD,955645.0,955644.0,-0.0
2023_PWD_72991_3,"Renovation of office of CPS Edu. (Room No.318) in Ellerslie Building at HP Secretariat Shimla-2. (SH - Penelling, ceiling and polishing etc.).Renovation of office of CPS Edu. (Room No.318) in Ellerslie Building at HP Secretariat Shimla-2. (SH - Penel",PWD,623521.0,623521.0,0.0
2023_PWD_72991_12,"Construction of three Nos of lecture hall at IGMC Shimla (Two Nos in Medical College and one No in floor of block-E) (SH- Acoustic work, platform, painting and distempering etc.).",PWD,9990199.0,8791375.0,-12.0
2023_PWD_72991_11,Special repair to Sarvodya Leper Colony Downdale Phagli Shimla. (SH Providng and Laying inter locking paver blocks etc.).,PWD,729498.0,729498.0,0.0
2023_PWD_72991_10,Special repair to Office Building of SSA at Directorate of Education Shimla (SH- Renovation of General toilet.),PWD,2304703.0,1984349.0,-13.9
2023_PWD_72467_1,Construction of Chelian Dholta Gadiara Dharot road.,PWD,829821.0,656918.0,-20.836
2023_PWD_72240_1,"extra strengthening of 130 feet span DSR Bailey Bridge by dismantling of various bridge components and fixing of BB panel, top chord, chord bolt bracing frame base plate bearing end post female panel pin split pin and long chord bolt to make",PWD,1197022.0,1256754.0,4.99
2023_PWD_71952_1,Construction of Veterinary Dispensary at Balh Chalharg in Tehsil Joginder Nagar District Mandi (H.P.),PWD,1460372.0,1219406.0,-16.5
2023_PWD_71280_1,"Special repair to Himachal Hospital of Mental Health and Rehabitation Boileauganj Shimla-5 (SH - brick work, tile work, roofing work, water supply and sanitary installation etc in laundry).",PWD,166884.0,166884.0,0.0
2023_PWD_71263_1,Special repair of Dr. RKGMC Hamirpur (HP). Special repair of Dr. RKGMC Hamirpur HP,PWD,1786195.0,1482541.0,-17.0
2023_PWD_71257_1,Special repair Ex-Serviceman Building at Hamirpur,PWD,138792.0,115197.0,-17.0
2023_PWD_70328_1,C/o link road from Arla Gugga Mandir to Hatli Shamshanghat Km 0/00 to 1/00,PWD,1443783.0,1010647.0,-30.0
2023_PWD_70009_1,C/O 30.00MTRS. SPAN (NOW 50.00 MTRS. SPAN) PSC BOX GIRDER BRIDGE OVER KAPADA KHAD ON LINK ROAD TO UP-MOHAL KARDOH AT KM. 1/800.,PWD,29304862.0,23294433.0,-20.51
2023_PWD_69787_1,Balance work of Construction of motorable bridge over Moul Khad between Bairghatta and Kandera Liora road Km 0/0 to 1/500,PWD,44910452.0,34042589.0,-24.199
2023_PWD_69560_1,"Construction of link road from Sera to Chhanwar including bridge over Daroon khad in G.P Sera Thana in Distt. Kangra (Himachal Pradesh). (SH Construction of Sub-Structure, Super Structure for 25.00 mtr. span foot bridge alongwith both side approaches",PWD,4946840.0,3820443.0,-22.77
2023_PWD_69334_1,C/o Foot Brdige to village Dar Gujrerha of Lindi Khad and Sai Da Ghat,PWD,5676845.0,5000164.0,-11.92
2023_PWD_69231_1,Special repair of 80 ft span Bailey Bridge of NAHI at Matour Distt Kanga HP SH Dismantling Fabrication and fixing of 80 ft Bailey bridge components,PWD,1905639.0,2000730.0,4.99
2023_PWD_69227_1,Construction of 42 mtr span steel truss foot bridge at Katagla over river Parvati SH Launching of bridge complete,PWD,832600.0,874147.0,4.99
2023_PWD_68088_1,Construction of 33.40 mtr Span PSC Box Girder Bridge over Dharoon Khad including approaches to connect village Kaled with Karali Da Bag Km 0/000 to 0/695) UnderNABARD RIDF-XXVIII,PWD,36519623.0,30142366.0,-17.463
2023_PWD_67908_1,Construction of 25 mtr span steel truss foot bridge at Nihar Gouda near Plachan SH Construction of sub structure and super structure,PWD,2969980.0,2999680.0,1.0
2023_PWD_67647_1,Job 1 Construction of 34.55metre RCC Box Cell Bridge including approaches over Chandpur Khad at Km. 29-650 on Panjawar Bathri road Sub Head C.O Sub structure and super structure including both side approaches UNDER NABARD RIDF-XXVIII,PWD,16497564.0,17035795.0,3.262
2023_PWD_67333_1,Construction of Baily Bridge over Sal Nallah at Baloo on Baloo to Pucca Tala road Construction 30 metre span RCC Box Girder Bridge at Rd.0/057 including both side approaches,PWD,58945901.0,53517255.0,-9.21
2023_PWD_67311_5,NA,PWD,660000.0,435000.0,-34.091
2023_PWD_67275_1,Construction of 27.50 mtr. span steel truss foot bridge over Rana Khad at Machhyal near Shani Dev Mandir,PWD,4820882.0,4413068.0,-8.459
2023_CPD1_75382_8,Tanks/DMP-08/ Chamia,Chief Project Director IDP Solan||DPO Solan,1305000.0,1299677.0,-0.408
2023_CPD1_75347_4,OLDTanks/KGT-04/,Chief Project Director IDP Solan||DPO Solan,1415000.0,1413811.0,-0.084
2023_CPD1_75341_7,Tanks/KGT-07/Kandaghat/ Bajhani,Chief Project Director IDP Solan||DPO Solan,3480000.0,3475313.0,-0.135
2023_CPD1_75278_2,OLDTanks/RMS-02/,Chief Project Director IDP Solan||DPO Solan,1404000.0,1403436.0,-0.04
2022_UDDHP_61585_1,construction of park near Amol Kalia Petrol pump moh. khadpar ward no. 4 MC Una,Directorate of Urban Development||Urban Development - UDDHP||Municipal Council Una - UDDHP,6762508.0,4733755.0,-30.0
2022_PWD_66776_1,Construction of Samirpur Matlana Bhuana road Bridge,PWD,4763204.0,5000889.0,4.99
2022_PWD_66765_1,NA,PWD,5057295.0,5057295.0,0.0
2022_PWD_66647_1,Construction of link road to village Naura Including bridge over Baner to Join Thanpuri Km 0/000 to 1/870 in Distt Kangra (HP) (SH-Balance work of Jassour side abutment).,PWD,2999998.0,2999998.0,0.0
2022_PWD_66223_1,Construction of Sericulture Community centre/Chawki rearing centre at Chauntra Tehsil Joginder Nagar District Mandi (H.P.),PWD,2472957.0,2245968.0,-9.179
2022_PWD_66012_1,Construction of 38 mtr span steel truss bridge 2.40 mtrs carriage way at Kuragi over Bakhli khad SH Steel work in super structure and launching of bridge complete,PWD,2247554.0,2349817.0,4.55
2022_PWD_66002_1,Construction of 320 feet span BS Bridge at Yangley Lahaul and Spiti SH Supplying and stacking of suspension bridge components etc including carriage of material complete,PWD,672894.0,706471.0,4.99
2022_PWD_65754_1,Constructiion of 62.00 meter span composite steel Girder Bridge at Bajrolipul over Balson Khad on Sainj Deha Chopal road at RD 5.540 under CRIF JOB HP.2021.22.180,PWD,80400000.0,76700000.0,-4.602
2022_PWD_65745_1,NA,PWD,712530.0,748085.0,4.99
2022_PWD_65731_2,Repair of 22.88 mtr span tabular English type bridge at Gushaini SH Fabrication dismantling and fixing of deck units etc,PWD,1533386.0,1609901.0,4.99
2022_PWD_65729_1,NA,PWD,843165.0,885239.0,4.99
2022_PWD_65345_1,NA,PWD,832600.0,874147.0,4.99
2022_PWD_65033_1,NA,PWD,1396460.0,1466144.0,4.99
2022_PWD_65027_1,NA,PWD,1408728.0,1479024.0,4.99
2022_PWD_65014_1,NA,PWD,1352002.0,1419466.0,4.99
2022_PWD_64511_1,NA,PWD,2920756.0,2993774.0,2.5
2022_PWD_64499_1,NA,PWD,2861477.0,2990243.0,4.5
2022_PWD_64320_1,NA,PWD,1507202.0,1582261.0,4.98
2022_PWD_64290_1,Construction of 19.75 metre span RCC T-Beam Bridge over Rain Khad on Sullah Majhakra Harbaral road at RD 0/360,PWD,1807713.0,2999943.0,65.952
2022_PWD_64170_1,Construction of Bridge over Mama Bhanja Nallah at GP Band Vihar Palampur (Under SCSP) (SW- Construction of 6.00 Mtrs. Span RCC Slab Culvert at RD 3/690),PWD,1592196.0,1163034.0,-26.954
2022_PWD_64075_1,CONSTRUCTION OF ADDITIONA ACCOMODATION OF GOVT SR SECO SCHOOL AT LAG BALIAYANA TEHSIL PRAGPUR DISTT KANGRA H.P SUB HEAD C.O TWO NO.S CLASS ROOM IN GROUND FLOOR,PWD,2821902.0,2654368.0,-5.937
2022_PWD_64062_1,C/O 42.65 mtr.span (4span of 10.37mtr.each)RCC slab bridge over Chhounchh Khad at RD0/515 on Sukhar to Salahan road in Tehsil Nurpur Distt. Kangra,PWD,13611031.0,9528081.0,-29.997
2022_PWD_63827_1,C/o Bailey bridge over Rosso khad on Karnohal to Rangod road,PWD,2856610.0,2579275.0,-9.709
2022_PWD_63805_1,Construction of Bairghatta to Duhak road Km 0/0 to 2/0 including 153.348 mtr. span (D/L) bridge over Neugal Khad at RD 0/930.,PWD,168009763.0,137700000.0,-18.04
2022_PWD_63773_1,NA,PWD,1163885.0,1221963.0,4.99
2022_PWD_63770_1,NA,PWD,1461120.0,0.0,-100.0
2022_PWD_63524_1,"C/o Bridge over Kandaiwala Khud to connecting Village Kandaiwala, GP Burma Papdi, Tehsil Nahan, Sirmaur (HP)",PWD,3018568.0,2112998.0,-30.0
2022_PWD_63520_1,C/o 40.00 mtr span double lane bridge with footpath over Bakhli Khad on Lambathach Shillibagi Kalhani Kashoud Padli balhli Pandoh road km. 0/0 to 68/0,PWD,79604835.0,63524658.0,-20.2
2022_PWD_63242_1,Construction of Shaheed Surinder Singh,PWD,41869240.0,39580701.0,-5.466
2022_PWD_63234_1,NA,PWD,4335088.0,4082186.0,-5.834
2022_PWD_63226_1,Construction of link road Barana Mariyari Chowki Nehar Palachaklu road Km 0/000 to 8/300 in Distt Kangra (HP) (SH-Balance work of 12.00 mtrs span Bridge over Nehar Khad).,PWD,2250084.0,2100004.0,-6.67
2022_PWD_63203_1,C/o link road from Arla Gugga Mandir to Hatli Shamshanghat Km 0/0 to 2/0 including 30.00 metre span Bridge,PWD,1351770.0,1656993.0,22.58
2022_PWD_63167_1,Construction of 30.00 mtrs span effictiveRCC Box Girder Bridge at Bakhli Khad on Janjehli Gadagusain road,PWD,2520935.0,2596563.0,3.0
2022_PWD_63113_1,"Restoration of rain damages on link road from Village Sitalpur to nanowal km 0/0 to 18/400 (SH C/O HPC Culverts at Rd 8/800, 8/980, 9/600, 9/700, 10/150, 10/300,10/500 and 10/650)",PWD,1736064.0,1690085.0,-2.648
2022_PWD_63041_1,Construction of R.C.C. Solid Slab bridge,PWD,5389303.0,3772574.0,-29.999
2022_PWD_62635_1,Construction of 30.00 mtrs span PSC Girder Bridge over Ropri Khad at RD. 68/210 on Mandi Gagal Chail Janjehli road at Thunag Distt. mandi,PWD,42651355.0,36910483.0,-13.46
2022_PWD_62280_1,NA,PWD,1225069.0,1285097.0,4.9
2022_PWD_61994_1,C/O link road to Tara Devi Mandir,PWD,201195.0,159865.0,-20.542
2022_PWD_61723_1,NA,PWD,8000311.0,8360324.0,4.5
2022_PWD_61344_1,"Construction of Multi-story parking and office accommodation Armsdale building Phase-III at H.P Sectt. Shimla SH Disposal of excavated materials malba from scoter parking, front, road side and all floors etc. of Armsdale Phase III.",PWD,2512106.0,2410371.0,-4.05
2022_PWD_61343_1,"Construction of Multi-story parking and office accommodation (Armsdale building Phase-III) at H.P Sectt. Shimla (SH- Providing and fixing sensor taps, hand rail, kota stone in stairs and scaffolding for plastering, lift and connecting bridge etc.).",PWD,2320187.0,2405367.0,3.671
2022_PWD_61297_2,C/O 25.00 mtr.single span RCC Box girder bridge over Greli Khad at RD 6/737 on Jounta to Jhikli Bharmoli via Khel road kms 0/0 to 10/0,PWD,8552943.0,6835087.0,-20.085
2022_PWD_61297_1,C/O 30.00 mtr. single span RCC Box girder bridge over Bardi Khad at RD 0/453 on link road to Harijan Basti Bardi,PWD,8729533.0,7606681.0,-12.863
2022_PWD_61285_1,CONSTRUCTION OF 2 NO.S BRIDGE ON BANI TO PRAGPUR VIA DANGRA SIDH ROAD I.E LAGBALIYANA AND SEHRI KHAD IN DISTT KANGRA H.P SH CONNSTRUCTION OF 2 NO.S BRIDGE ON BALIYANA AND SEHRI KHAD INCLUDING BOTH SIDE APPROACHES UNDER NABARD RIDF XXVII,PWD,45526006.0,47047393.0,3.342
2022_PWD_61167_1,Const.of 19.75 mtr. single span RCC T-Beam bridge over Samunder Nallah at RD 1/740 on Minjgran Behi Pathiar to Dhamin Kherian road in Tehsil Nurpur Distt. Kangra HP,PWD,8813201.0,6287786.0,-28.655
2022_PWD_60365_1,Construction of T Beam Btridge 19.75mtr span on Basadhar Giankot road at km 0.015 over Baroth Khad,PWD,12641973.0,10658501.0,-15.69
2022_PWD_60267_1,NA,PWD,2932833.0,2999738.0,2.281
2022_PWD_59846_1,Construction of 19.75 mtrs span RCC T beam bridge over Gadagusain Thanwarigad thatta road in Km. 0/375,PWD,18507364.0,19366104.0,4.64
